VendorNumber,VendorName,Brand,Description,Volume,ActualPrice,PurchasePrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesAvgPrice,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
12546,JIM BEAM BRANDS COMPANY,3512,Pinnacle Vodka,1750.0,16.99,11.76,101480,1193404.8,16.418025632214114,98938,1624366.6199999999,181782.13,123880.97,430961.81999999983,26.531068460394724,0.9749507292077256,1.3611195631189013,11.76,Large,29893.92
12546,JIM BEAM BRANDS COMPANY,2120,Canadian Club,1750.0,16.99,12.21,97473,1190145.33,16.370033698399325,94960,1554498.4,174471.93,123880.97,364353.06999999983,23.438626247540675,0.9742185015337581,1.3061416625480518,12.21,Large,30683.730000000003
7245,PROXIMO SPIRITS INC.,8159,Jose Cuervo Especial,1750.0,25.99,19.69,59088,1163442.72,26.44091281351305,58610,1549701.9,107685.03,38994.78,386259.17999999993,24.924740687225068,0.9919103709721094,1.331996731218534,19.69,Large,9411.82
8112,MOET HENNESSY USA INC,6654,Veuve Clicquot Brut Yellow,750.0,39.99,27.2,40380,1098336.0,41.1537269516439,38506,1584665.41,4316.36,48347.26,486329.4099999999,30.68972206568199,0.9535908865775137,1.442787462124523,27.2,Large,50972.799999999996
7245,PROXIMO SPIRITS INC.,3802,Three Olives Vodka,1750.0,18.99,13.43,77066,1034996.38,18.851580257487754,74722,1408627.78,137288.58,38994.78,373631.4,26.524494639740816,0.9695845119767472,1.3609977843594003,13.43,Large,31479.92
11567,CAMPARI AMERICA,3826,Skyy Vodka,1750.0,19.99,15.74,65382,1029112.6799999999,20.61566006088091,64388,1327401.1199999999,118298.37,20964.81,298288.43999999994,22.471612800808842,0.9847970389403812,1.289850126032846,15.739999999999998,Large,15645.56
8112,MOET HENNESSY USA INC,42188,Moet & Chandon Nectar Imp Rs,750.0,52.99,34.01,29829,1014484.29,51.99113567021493,29498,1533634.52,3314.23,48347.26,519150.23,33.850974481195166,0.9889034161386571,1.5117380674273428,34.01,Large,11257.31
17035,PERNOD RICARD USA,3423,Beefeater,1750.0,26.99,21.25,46163,980963.75,26.313265269648358,44762,1177834.38,82244.16,123780.22,196870.6299999999,16.71462756928524,0.9696510192145225,1.2006910347094883,21.25,Large,29771.25
8004,SAZERAC CO INC,5138,Fireball Cinnamon Whisky,750.0,13.99,11.1,87954,976289.4,13.93335263201604,84289,1174428.36,66360.95,50293.62,198138.96000000008,16.871098037857333,0.9583304909384451,1.2029510511944512,11.1,Large,40681.5
17035,PERNOD RICARD USA,5734,Malibu Rum,1750.0,21.99,15.82,61639,975128.98,21.516471664836445,60102,1293182.98,110429.45,123780.22,318054.0,24.594663316710218,0.9750644883920895,1.3261660831780429,15.82,Large,24315.34
